name	block	poss	xcoord	ycoord	treat	col.E	total_treat	flooded	tag	mother	sp	poss	A	E	U	gs	Tlm	Qleaf	jam	starttime 	time	dtime	Ci	com	date	cycle.start	dia
A92	A	92	1.5	5.5	21	green	16	1	A_Sxan_92	8n_Sxan	sxan	92	0	0.51	NA	NA	NA	87	10:07	08:00	02:07	2.12	NA	NA	30.07.2015	14.07.2015	2.85
A93	A	93	2	5.5	15	red	17	1	A_Ssem_93	SS	ssem	93	1.7	0.2	70.5	0.01	36.9	237	16:08	08:00	08:08	8.13	691	NA	12.08.2015	04.08.2015	3.28
A96	A	96	3.5	5.5	18	silver	23	1	A_Ptom_96	9J_Ptom_14	ptom	96	0.18	0.56	69.1	0.04	36.6	167	16:14	08:00	08:14	8.23	384	NA	12.08.2015	04.08.2015	3.14
A97	A	97	0	6	0	white	0	0	A_Sxan_97	Sxan_3_RDC	sxan	97	0.25	0.39	70.8	0.03	35.9	146	16:20	08:00	08:20	8.33	359	NA	12.08.2015	04.08.2015	2.71
A97	A	97	0	6	0	white	0	1	A_Sxan_97	Sxan_3_RDC	sxan	97	2.05	0.56	NA	NA	NA	234	15:50	08:00	07:50	7.83	NA	NA	30.07.2015	14.07.2015	2.71
A99	A	99	1	6	6	yellow	6	0	A_Spar_99	Sp_m_4	spar	99	0.13	0.42	70.5	0.02	35	72	13:29	08:00	05:29	5.48	368	NA	07.08.2015	04.08.2015	3.68
B100	B	100	6	6	6	yellow	2	1	B_Sbec_100	SHOREABECCARINA_Sbec	sbec	100	0.46	0.65	NA	NA	NA	384	13:34	08:00	05:34	5.57	NA	NA	31.07.2015	14.07.2015	4.84
B100	B	100	6	6	6	yellow	8	1	B_Sbec_100	SHOREABECCARINA_Sbec	sbec	100	-1.31	0.45	71.3	0.51	37.4	141	10:51	08:00	02:51	2.85	213	NA	21.08.2015	04.08.2015	4.84
B101	B	101	6.5	6	21	green	15	1	B_Slep_101	SL_m_114	slep	101	-0.57	0.2	NA	NA	NA	62	13:25	08:00	05:25	5.42	NA	NA	29.07.2015	14.07.2015	3.64
B105	B	105	4.5	6.5	15	red	10	1	B_Dry_105	DL_Tawau	dry	105	2.16	1.24	NA	NA	NA	378	10:30	08:00	02:30	2.5	NA	NA	30.07.2015	14.07.2015	3.97
B105	B	105	4.5	6.5	15	red	26	1	B_Dry_105	DL_Tawau	dry	105	-0.31	0.32	71.9	0.43	37.8	129	10:57	08:00	02:57	2.95	138	NA	21.08.2015	04.08.2015	3.97
B106	B	106	5	6.5	18	silver	32	1	B_Dry_106	Dl_m_4	dry	106	-0.41	0.41	71.3	0.09	37.7	201	11:03	08:00	03:03	3.05	411	NA	21.08.2015	04.08.2015	5.14
B108	B	108	6	6.5	0	white	0	1	B_Sxan_108	8L_Sxan_10	sxan	108	4.1	1.39	NA	NA	NA	356	09:37	08:00	01:37	1.62	NA	NA	31.07.2015	14.07.2015	3.36
B110	B	110	7	6.5	6	yellow	2	1	B_Sxan_110	11H_Sxan_1	sxan	110	-0.11	0.98	NA	NA	NA	418	13:39	08:00	05:39	5.65	NA	NA	31.07.2015	14.07.2015	2.97
B111	B	111	7.5	6.5	18	silver	32	1	B_Sxan_111	9K_Sxan_2	sxan	111	0.56	0.39	71.8	0.01	36.6	388	11:09	08:00	03:09	3.15	436	NA	21.08.2015	04.08.2015	2.98
